Name
Abed Awad
Adil Haque
Adnan Zulfiqar
Alex Dika Seggerman
Alexander A. Reinert
Alexander Hinton
Alexis Karteron
Ali A. Olomi
Ali R. Chaudhary
Ameena Ghaffar-Kucher
Amir Hussain
Anju Gupta
Asli Ü. Bâli
Atalia Omer
Atiya Aftab
Audrey Trusche
Aziz Rana
Aziza Ahmed
Behrooz Ghamari-Tabrizi
Beth Baron
Beth Stephens
Bidisha Biswas
Brittany Friedman
Catherine M. Grosso
Chaumtoli Huq
Clark B. Lombardi
Cyra A. Choudhury
D. Asher Ghertner
Dalia Fahmy
Deepa Kumar
Ebrahim Rasool
Eid Mohamed
Elise Boddie
Ellen C. Yaroshefsky
Emily Berman
Emmaia Gelman
Eric McDaniel
Esaa Mohammad Samarah Samarsky
Esther Canty- Barnes
Faisal Kutty
Faiza Sayed
Falguni A. Sheth
Farid Hafez
Fatemeh Shams
Gaiutra Devi Bahadur
George Bisharat
Ghada Ageel
Hadi Khoshneviss
Haider Ala Hamoudi
Hajar Yazdiha
Hatem Bazian
Heba M. Khalil
Huda J. Fakhreddine
Ivan Kalmar
James R. Jones
Jasbir K. Puar
Jasmin Zine
Jason Brownlee
Jesse Norris
Joel Beinin
"John Farmer, Jr."
John L. Esposito
John Tehranian
Jon Dubin
Jonathan Feingold
Jonathan Hafetz
Jorge Contesse
Joseph Massad
Juan Cole
Karam Dana
Karim Malak
Karishma Desai
Khaled A. Beydoun
Khalil Al-Anani
Khyati Joshi
LaToya Baldwin Clark
Lara Sheehi
Leila Kawar
Leyla Amzi-Erdogdular
Lorenzo Veracini
M. Shahid Alam
Mahruq Khan
Marc O. Jones
Margaret Hu
Mark Bray
Marta Esquilin
Maryam Jamshidi
Matthew Abraham
Maura Finkelstein
Mayte Green-Mercado
Meera E. Deo
Mitra Rastegar
Mohamed Alsiadi
Mohamed ‘Arafa
Mohammad Fadel
Mojtaba Mahdavi
Muhannad Ayyash
Nader Hashemi
Nadia Ahmad
Nahed Samour
Nancy A. Khalil
Natsu Taylor Saito
Nausheen Husain
Naved Bakali
Nazia Kazi
Nermin Allam
Norrinda Brown Hayat
Noura Erakat
Nükhet Varlık
Omar Al-Dewachi
Omar Dajani
Omar S. Dahi
Omid Safi
Ousseina Alidou
Rabea Benhalim
Rachel Godsil
Raquel E Aldana
Raz Segal
Rebecca Hankins
René Reyes
Robert S. Chang
Sabreena Ghaffar-Siddiqui
Sabrina Alimahomed
Saeed Khan
Sahar Mohamed Khamis
Saher Selod
Salman Sayyid
Santiago Slabodsky
Sarah Eltantawi
Seema Saifee
Sherene Razack
Shirin Saeidi
Shirin Sinnar
Shoba Sivaprasad Wadhia
Siham Elkassem
SpearIt
Stacy Hawkins
Stephen Dycus
Stephen Sheehi
Sudha N. Setty
Susan M. Akram
Sylvia Chan-Malik
Tahseen Shah
Taleed El-Sabawi
Tanya K. Hernández
Tazeen M. Ali
Timothy Eatman
Timothy P. Daniels
Timothy Raphael
Toby Jones
Udi Ofer
Umayyah Cable
Veena Dubal
Victoria Ramenzoni
Wadie Said
Wendell Marsh
Wendy Greene
Whitney Strub
William C. Banks
William I. Robinson
Yasmiyn Irizarry
Zahra Ali
Zain Abdullah
Zakia Salime
Zeynep Devrim Gürsel
